Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,12/1/2009 7:45,6.95,13085,United Kingdom
489436,48173C,DOOR MAT BLACK FLOCK ,10,12/1/2009 9:06,5.95,13078,United Kingdom
489437,22143,CHRISTMAS CRAFT HEART DECORATIONS,6,12/1/2009 9:08,2.1,15362,United Kingdom
489438,21329,DINOSAURS  WRITING SET ,28,12/1/2009 9:24,0.98,18102,United Kingdom
489439,22065,CHRISTMAS PUDDING TRINKET POT ,12,12/1/2009 9:28,1.45,12682,France
489440,22350,CAT BOWL ,8,12/1/2009 9:43,2.55,18087,United Kingdom
489442,21955,UNION JACK GUNS & ROSES  DOORMAT,2,12/1/2009 9:46,6.75,13635,United Kingdom
489443,20754,RETRO RED SPOTTY WASHING UP GLOVES,6,12/1/2009 9:50,2.1,14110,United Kingdom
489444,POST,POSTAGE,1,12/1/2009 9:55,141,12636,USA
489445,35916C,PINK FELT HANGING HEART W FLOWER,12,12/1/2009 9:57,0.85,17519,United Kingdom
489446,21733,RED HANGING HEART T-LIGHT HOLDER,32,12/1/2009 10:06,2.55,13758,United Kingdom
489447,POST,POSTAGE,1,12/1/2009 10:10,130,12362,Belgium
489448,20827,GOLD APERITIF GLASS,48,12/1/2009 10:18,2.12,15413,United Kingdom
C489449,22087,PAPER BUNTING WHITE LACE,-12,12/1/2009 10:33,2.95,16321,Australia
C489459,90200A,PURPLE SWEETHEART BRACELET,-3,12/1/2009 10:44,4.25,17592,United Kingdom
489460,79323P,PINK CHERRY LIGHTS,8,12/1/2009 10:46,6.75,16167,United Kingdom
489461,21668,RED STRIPE CERAMIC DRAWER KNOB,24,12/1/2009 10:49,1.25,17865,United Kingdom
489464,21733,85123a mixed,-96,12/1/2009 10:52,0,14911,United Kingdom
489465,21707,"FOLDING UMBRELLA , BLACK/BLUE  SPOT",12,12/1/2009 10:52,4.95,13767,United Kingdom
C489476,22149,FELTCRAFT 6 FLOWER FRIENDS,-6,12/1/2009 10:55,2.1,13293,United Kingdom
489488,84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE ,1,12/1/2009 10:59,4.65,17238,United Kingdom
C489503,21540,DAIRY MAID CERAMIC BUTTER DISH,-2,12/1/2009 11:04,4.25,16011,United Kingdom
C489504,85083,KISS REINDEER SCANDINAVIAN STOCKING,-6,12/1/2009 11:10,2.55,13916,United Kingdom
489505,21472,LADYBIRD + BEE RAFFIA FOOD COVER,6,12/1/2009 11:17,3.75,15712,United Kingdom
489514,21791,VINTAGE HEADS AND TAILS CARD GAME ,72,12/1/2009 11:21,1.06,15311,United Kingdom
489517,21705,BAG 500g SWIRLY MARBLES,1,12/1/2009 11:34,1.65,16329,United Kingdom
C489518,20892,SET/3 TALL GLASS CANDLE HOLDER PINK,-2,12/1/2009 11:35,12.75,15461,United Kingdom
489519,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,12,12/1/2009 11:37,2.95,17700,United Kingdom
489522,21916,SET 12 RETRO WHITE CHALK STICKS,3,12/1/2009 11:45,0.42,15998,United Kingdom
489523,84879,ASSORTED COLOUR BIRD ORNAMENT,800,12/1/2009 11:46,1.45,12931,United Kingdom
C489524,21258,VICTORIAN SEWING BOX LARGE,-1,12/1/2009 11:48,12.75,15614,United Kingdom
489526,85049E,SCANDINAVIAN REDS RIBBONS,12,12/1/2009 11:50,1.25,12533,Germany
C489527,21041,RED SPOTTY OVEN GLOVE DOUBLE,-3,12/1/2009 11:50,2.95,16128,United Kingdom
C489528,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-1,12/1/2009 11:50,7.95,16714,United Kingdom
489529,85063,CREAM SWEETHEART MAGAZINE RACK,1,12/1/2009 11:51,16.95,17984,United Kingdom
C489530,72803A,ROSE SCENT CANDLE JEWELLED DRAWER,-1,12/1/2009 11:56,4.25,14748,United Kingdom
489531,79029,GLASS HONEYPOT WASP CATCHER,1,12/1/2009 11:57,1.95,14871,United Kingdom
489532,85049D,BRIGHT BLUES RIBBONS ,12,12/1/2009 11:58,1.25,13394,United Kingdom
C489534,35832,WOOLLY HAT SOCK GLOVE ADVENT STRING,-1,12/1/2009 12:09,5.95,12615,France
C489535,D,Discount,-1,12/1/2009 12:11,9,15299,United Kingdom
489536,21375,LARGE CAMPHOR WOOD FIELD MUSHROOM ,2,12/1/2009 12:13,5.45,16393,United Kingdom
489537,48129,DOOR MAT TOPIARY,1,12/1/2009 12:14,6.75,14040,United Kingdom
